S_GES,U_GES,T
3.4,64,32.6
5.6,66,28
6.3,58,36
4.9,82,13
7.9,79,14
63.7898,28.8526,7.3577
65.2286,27.3924,7.379
62.9289,30.2872,6.7839
26.3,56.1,17.6
19.4,30,50.6
16.3,68.1,15.6
38,51,11
38,52,11
33,51,16
49,23,28
32,57,11
33,53,13
6.8,70.5,22.7
9.1,68.1,22.8
6.4,67.2,26.4
6.1,68.3,25.6
46,20,35
30,59,11
29,58,13
33,49,18
38,48,14
36,51,13
50,38,13
56,31,13
66,23,11
54,29,17
61,29,9.9
76.89999999999999,20.5,2.6
82.9,13.7,3.4
80.30000000000001,17.2,2.5
79.89999999999999,17.1,3
61,22,17
77,9.1,14
45,27,28
85,6.2,9.2
67.7,27.5,4.8
72.7,21.5,6.8
75.5,20.3,4.2
83.5,13.4,3.1
87,10.1,2.9
67.9,25.9,6.2
38.6,34.7,26.7
38.9,48.1,13
25.3,55.3,19.4
61,18.3,20.7
70,9.2,20.8
18.7,56.2,25.1
6.4,61.9,31.7
3.4,37.5,59.1
9,70,21
15,68,18
13.3,77,9.7
17.5,70.9,11.6
11.3,67.1,21.6
9,64.1,26.9
65,23,12
63,28,9.8
74,18,7.7
41.3,38.2,20.5
30.9,41.5,27.6
25.7,45.3,29
33,35,32
22,62,16
22,63,15
2.5,39.7,57.8
11.2,24,64.8
10.5,47.9,41.6
4.3,49.3,46.4
43.6,34.3,22.1
40.3,32.9,26.7
21,36,42
8.7,42,49
21,43,35
46.2,27.3,26.5
44.2,31.6,24.3
21.5,54.6,23.9
15.6,56,28.4
42.7,28.9,28.4
7.8,61.9,30.3
11.8,57.7,30.5
26.7,46.6,26.7
9.4,65.5,25.2
2.9,73.3,23.8
1.7,64.4,33.8
23.4,59.1,17.7
50.4,34.1,15.6
15,60,25
11,59,30
8.5,56,35
3.2,74.5,22.2
2.8,65,32.3
22.1,59.9,18
16.9,59.2,23.9
83.4,9.8,6.8
71.4,18.5,10.1
38,10.7,51.2
3.7,82,14
3.8,82,14
4.1,76,19
2.2,53,45
3.4,63,33
2.5,45,52
8.3,55.2,36.5
19.6,54.4,26
51.6,31.7,16.7
4.3,75,21
4.4,79,16
4.2,75,21
4.1,75,21
62,23,15
57,33,10
49,41,10
47,45,7.9
81,5.7,13
28.4417,35.628499999999995,35.93
15.6573,50.7675,33.5751
3.1831,39.4026,57.4141
23,41,35
12,50,38
13,41,45
17,45,37
18.3,33.1,48.7
4.8,39.4,55.8
32.4,36.2,31.5
6.8,69.3,23.9
6.8,70.9,22.3
43.3,27.7,29
53.4,25,21.6
48.7,31.3,20
15.4,46.3,38.4
10.7,41.1,48.2
9.2,38.9,51.9
